,optimization_step,loss
0,0,0.2392319142818451
1,1,0.23406799137592316
2,2,0.2296716272830963
3,3,0.2282819002866745
4,4,0.225931778550148
5,5,0.22579839825630188
6,6,0.22205741703510284
7,7,0.2218220978975296
8,8,0.22075651586055756
9,9,0.2184911072254181
10,10,0.22188349068164825
11,11,0.2187497317790985
12,12,0.21736998856067657
13,13,0.215506449341774
14,14,0.213669553399086
15,15,0.21368974447250366
16,16,0.21205362677574158
17,17,0.2101917862892151
18,18,0.20641125738620758
19,19,0.19873714447021484
20,20,0.20738212764263153
21,21,0.20742663741111755
22,22,0.20298585295677185
23,23,0.2000068575143814
24,24,0.19628098607063293
25,25,0.19668366014957428
26,26,0.19700083136558533
27,27,0.19646215438842773
28,28,0.19885917007923126
29,29,0.196180522441864
30,30,0.19440193474292755
31,31,0.19830679893493652
32,32,0.19329005479812622
33,33,0.1951429694890976
34,34,0.18999896943569183
35,35,0.1920483410358429
36,36,0.19602370262145996
37,37,0.19471213221549988
38,38,0.19797787070274353
39,39,0.1975230574607849
40,40,0.18886493146419525
41,41,0.19747619330883026
42,42,0.19311527907848358
43,43,0.1984620839357376
44,44,0.19475600123405457
45,45,0.19318969547748566
46,46,0.18618012964725494
47,47,0.19103214144706726
48,48,0.1959892213344574
49,49,0.19853676855564117
50,50,0.19578425586223602
51,51,0.19222110509872437
52,52,0.19228191673755646
53,53,0.18548811972141266
54,54,0.1941666454076767
55,55,0.1898222714662552
56,56,0.19575512409210205
57,57,0.18760624527931213
58,58,0.1895771026611328
59,59,0.19161531329154968
60,60,0.18864426016807556
61,61,0.19170717895030975
62,62,0.1906033158302307
63,63,0.19243115186691284
64,64,0.19268827140331268
65,65,0.18557429313659668
66,66,0.17982694506645203
67,67,0.18850715458393097
68,68,0.18615390360355377
69,69,0.18786053359508514
70,70,0.18476715683937073
71,71,0.1943683624267578
72,72,0.18919065594673157
73,73,0.18984708189964294
74,74,0.18901121616363525
75,75,0.1933661252260208
76,76,0.1880677342414856
77,77,0.1863531917333603
78,78,0.18652328848838806
79,79,0.1866512894630432
80,80,0.18495990335941315
81,81,0.1848333328962326
82,82,0.18516328930854797
83,83,0.1936984658241272
84,84,0.18704821169376373
85,85,0.18751558661460876
86,86,0.1839919239282608
87,87,0.17845170199871063
88,88,0.17751029133796692
89,89,0.18197351694107056
90,90,0.1797301471233368
91,91,0.17741656303405762
92,92,0.1828753501176834
93,93,0.17529401183128357
94,94,0.18444488942623138
95,95,0.1843443661928177
96,96,0.17816154658794403
97,97,0.17979635298252106
98,98,0.17090290784835815
99,99,0.18312442302703857
100,100,0.1871206909418106
101,101,0.17952851951122284
102,102,0.17842459678649902
103,103,0.17922905087471008
104,104,0.1780775934457779
105,105,0.17588844895362854
106,106,0.17158719897270203
107,107,0.17607669532299042
108,108,0.17472265660762787
109,109,0.16878023743629456
110,110,0.1752908080816269
111,111,0.16987058520317078
112,112,0.16902470588684082
113,113,0.1685943454504013
114,114,0.16764627397060394
115,115,0.16622258722782135
116,116,0.1784197986125946
117,117,0.17067836225032806
118,118,0.17263397574424744
119,119,0.17202433943748474
120,120,0.16756340861320496
121,121,0.1626594513654709
122,122,0.16993752121925354
123,123,0.16927067935466766
124,124,0.16676130890846252
125,125,0.17113938927650452
126,126,0.16625738143920898
127,127,0.16894161701202393
128,128,0.15979862213134766
129,129,0.16560426354408264
130,130,0.16057200729846954
131,131,0.1732320338487625
132,132,0.16701076924800873
133,133,0.17084024846553802
134,134,0.16285079717636108
135,135,0.16516736149787903
136,136,0.16522431373596191
137,137,0.16488097608089447
138,138,0.15973982214927673
139,139,0.16923031210899353
140,140,0.15890376269817352
141,141,0.16539083421230316
142,142,0.16003480553627014
143,143,0.16417542099952698
144,144,0.16073863208293915
145,145,0.1644870787858963
